Service,Message
"ai-ops-orchestrator","App feature-adoption has accepted the onboarding request"
"ai-ops-orchestrator","Sending onboard API call to feature-adoption"
"ai-ops-orchestrator","App ai-ops-anomaly-detection has accepted the onboarding request"
"ai-ops-anomaly-detection","10.200.100.58:61364 - ""POST /api/platform/ai-ops-anomaly-detection/v1/onboard HTTP/1.1"" 202"
"ai-ops-anomaly-detection","Received request to onboard"
"ai-ops-anomaly-detection","You appear to be connected to a DocumentDB cluster. For more information regarding feature compatibility and support please visit https://www.mongodb.com/supportability/documentdb"
"ai-ops-anomaly-detection","Connecting to MongoDB at staging-ai-ops-anomaly-detection-docdb.cluster-cgiaglf2e8cq.us-west-2.docdb.amazonaws.com:27017"
"ai-ops-anomaly-detection","HTTP Request: GET https://edge.staging.cdo.cisco.com/anubis/rest/v1/oauth/check_token ""HTTP/1.1 200 """
"ai-ops-orchestrator","Sending onboard API call to ai-ops-anomaly-detection"
"ai-ops-orchestrator","App aiops-pao is onboarded successfully"
"ai-ops-orchestrator","Sending onboard API call to aiops-pao"
"ai-ops-orchestrator","App ai-ops-forecast has accepted the onboarding request"
"ai-ops-forecast","10.200.100.58:55656 - ""POST /api/platform/ai-ops-forecast/v1/onboard HTTP/1.1"" 202"
"ai-ops-forecast","Received request to onboard"
"ai-ops-forecast","You appear to be connected to a DocumentDB cluster. For more information regarding feature compatibility and support please visit https://www.mongodb.com/supportability/documentdb"
"ai-ops-forecast","Connecting to MongoDB at staging-ai-ops-forecast-docdb.cluster-cgiaglf2e8cq.us-west-2.docdb.amazonaws.com:27017"
"ai-ops-forecast","HTTP Request: GET https://edge.staging.cdo.cisco.com/anubis/rest/v1/oauth/check_token ""HTTP/1.1 200 """
"ai-ops-orchestrator","Sending onboard API call to ai-ops-forecast"
"ai-ops-orchestrator","App ai-ops-correlation has accepted the onboarding request"
"ai-ops-correlation","10.200.100.58:40840 - ""POST /api/platform/ai-ops-correlation/v1/onboard HTTP/1.1"" 202"
"ai-ops-correlation","Received request to onboard"
"ai-ops-correlation","You appear to be connected to a DocumentDB cluster. For more information regarding feature compatibility and support please visit https://www.mongodb.com/supportability/documentdb"
"ai-ops-correlation","Connecting to MongoDB at staging-ai-ops-correlation-docdb.cluster-cgiaglf2e8cq.us-west-2.docdb.amazonaws.com:27017"
"ai-ops-correlation","HTTP Request: GET https://edge.staging.cdo.cisco.com/anubis/rest/v1/oauth/check_token ""HTTP/1.1 200 """
"ai-ops-orchestrator","Sending onboard API call to ai-ops-correlation"
"ai-ops-orchestrator","App ai-ops-bestpractices is onboarded successfully"
"ai-ops-orchestrator","Sending onboard API call to ai-ops-bestpractices"
"ai-ops-orchestrator","App ai-ops-analytics has accepted the onboarding request"
"ai-ops-analytics","Pushed subscriber configurations to orchestrator"
"ai-ops-orchestrator","Added 1 new subscriber(s): [SubscriberConfig(subscriber=ElephantFlowDuressDetected, moduleName=ELEPHANT_FLOW, appName=ai-ops-analytics, triggerType=METRIC_ALERTS, config={metric-alert-namespace=elephant_flow_snort_busy}, pipeline=Pipeline(outputPlugins=[PluginConfig(plugin=WEBHOOK, config={moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})], processorPlugins=[PluginConfig(plugin=FTD_MINIMUM_VERSION, config={min-version=7.6, moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})]))]"
"ai-ops-analytics","AIOps Orchestrator Client - Post Trigger Subscriptions: [SubscriberConfigDto(subscriber=ElephantFlowDuressDetected, moduleName=ELEPHANT_FLOW, appName=ai-ops-analytics, triggerType=METRIC_ALERTS, config={metric-alert-rule=bmFtZTogZWZkc25vcnQKcnVsZXM6CiAgLSBhbGVydDogRWxlcGhhbnRGbG93RHVyZXNzRGV0ZWN0ZWQKICAgIGV4cHI6IGNvdW50KGVmZF9jcHVfdXNhZ2UpIGJ5IChqb2IgLCB1dWlkICkgPiAwIGFuZCBvbiAoam9iLCB1dWlkKSBkZWx0YShhc3BfZHJvcHN7YXNwX2Ryb3BzPSJzbm9ydC1idXN5LW5vdC1mcCJ9WzNtXSk+MAogICAgbGFiZWxzOgogICAgICBzZXZlcml0eTogY3JpdGljYWwKICAgIGFubm90YXRpb25zOgogICAgICBzdW1tYXJ5OiAnU25vcnQgYnVzeSBkZXRlY3RlZCB3aXRoIGVsZXBoYW50IGZsb3cgYnkgZGV2aWNlJwogICAgICB0aW1lc3RhbXA6ID4KICAgICAgICB7eyB3aXRoIHF1ZXJ5ICJ0aW1lKCkiIH19e3sgLiB8IGZpcnN0IHwgdmFsdWUgfCBodW1hbml6ZVRpbWVzdGFtcCB9fXt7IGVuZCB9fQ==, metric-alert-namespace=elephant_flow_snort_busy}, pipeline=Pipeline(outputPlugins=[PluginConfig(plugin=WEBHOOK, config=null)], processorPlugins=[PluginConfig(plugin=FTD_MINIMUM_VERSION, config={min-version=7.6})]))]"
"ai-ops-analytics","Read trigger manager subscriber configuration: [SubscriberConfigDto(subscriber=ElephantFlowDuressDetected, moduleName=ELEPHANT_FLOW, appName=ai-ops-analytics, triggerType=METRIC_ALERTS, config={metric-alert-rule=bmFtZTogZWZkc25vcnQKcnVsZXM6CiAgLSBhbGVydDogRWxlcGhhbnRGbG93RHVyZXNzRGV0ZWN0ZWQKICAgIGV4cHI6IGNvdW50KGVmZF9jcHVfdXNhZ2UpIGJ5IChqb2IgLCB1dWlkICkgPiAwIGFuZCBvbiAoam9iLCB1dWlkKSBkZWx0YShhc3BfZHJvcHN7YXNwX2Ryb3BzPSJzbm9ydC1idXN5LW5vdC1mcCJ9WzNtXSk+MAogICAgbGFiZWxzOgogICAgICBzZXZlcml0eTogY3JpdGljYWwKICAgIGFubm90YXRpb25zOgogICAgICBzdW1tYXJ5OiAnU25vcnQgYnVzeSBkZXRlY3RlZCB3aXRoIGVsZXBoYW50IGZsb3cgYnkgZGV2aWNlJwogICAgICB0aW1lc3RhbXA6ID4KICAgICAgICB7eyB3aXRoIHF1ZXJ5ICJ0aW1lKCkiIH19e3sgLiB8IGZpcnN0IHwgdmFsdWUgfCBodW1hbml6ZVRpbWVzdGFtcCB9fXt7IGVuZCB9fQ==, metric-alert-namespace=elephant_flow_snort_busy}, pipeline=Pipeline(outputPlugins=[PluginConfig(plugin=WEBHOOK, config=null)], processorPlugins=[PluginConfig(plugin=FTD_MINIMUM_VERSION, config={min-version=7.6})]))]"
"ai-ops-orchestrator","Sending onboard API call to ai-ops-analytics"
"ai-ops-orchestrator","Total apps to onboard: 8"
"ai-ops-orchestrator","Onboarding the registered apps"
"ai-ops-orchestrator","Saving application registrations to the database"
"ai-ops-orchestrator","Posted module create/update notification to metrics generator for CONNECTIONS_ANOMALY"
"ai-ops-orchestrator","responseEntity: <200 OK OK,[Content-Length:""0"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:33:07 GMT"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""76c72944-4175-4249-ae4d-ab8e2aaf90b5"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", Expires:""0"", X-Cache:""Miss from cloudfront"", Via:""1.1 7e971936bfe0d7b153ac686216fce092.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""SEA900-P6"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""BU0tzt-F2RI5LmrF8Njr76MpHkhhnBN9LEoS6HYcDqSZZOsyhEfukQ==""]>"
"ai-ops-metrics-generator","Module CONNECTIONS_ANOMALY does not support threshold metrics."
"ai-ops-metrics-generator","Updating Enable metrics for module: CONNECTIONS_ANOMALY"
"ai-ops-orchestrator","Sending module settings to metrics generator for CONNECTIONS_ANOMALY"
"ai-ops-orchestrator","Posted module create/update notification to metrics generator for BEST_PRACTICES"
"ai-ops-orchestrator","responseEntity: <200 OK OK,[Content-Length:""0"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:33:07 GMT"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""93095af4-3047-4edd-9f27-805f9937a245"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", Expires:""0"", X-Cache:""Miss from cloudfront"", Via:""1.1 7e971936bfe0d7b153ac686216fce092.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""SEA900-P6"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""6ACpq4WWyvu84Pf98GVsvGs0pTplUi3arnxXCILEBsEGaWKQs-lcTA==""]>"
"ai-ops-metrics-generator","Module BEST_PRACTICES does not support threshold metrics."
"ai-ops-metrics-generator","Module BEST_PRACTICES does not support enable metrics."
"ai-ops-orchestrator","Sending module settings to metrics generator for BEST_PRACTICES"
"ai-ops-orchestrator","Posted module create/update notification to metrics generator for CPU_SNORT_THRESHOLD_BREACH"
"ai-ops-orchestrator","responseEntity: <200 OK OK,[Content-Length:""0"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:33:06 GMT"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""ca256bd7-53fb-4dab-86fc-426c87328862"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", Expires:""0"", X-Cache:""Miss from cloudfront"", Via:""1.1 7e971936bfe0d7b153ac686216fce092.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""SEA900-P6"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""ozt6LPnFpNnGFYfYl57_t-AQBmKPAbAGZiUqHGwQJJHQ8V1RygllSg==""]>"
"ai-ops-metrics-generator","Updating Threshold metrics for module: CPU_SNORT_THRESHOLD_BREACH"
"ai-ops-metrics-generator","Module CPU_SNORT_THRESHOLD_BREACH does not support enable metrics."
"ai-ops-orchestrator","Sending module settings to metrics generator for CPU_SNORT_THRESHOLD_BREACH"
"ai-ops-orchestrator","Posted module create/update notification to metrics generator for MEMORY_SNORT_THRESHOLD_BREACH"
"ai-ops-orchestrator","responseEntity: <200 OK OK,[Content-Length:""0"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:33:06 GMT"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""ae585ecd-0e9d-4ef4-864a-5a6fbc052be9"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", Expires:""0"", X-Cache:""Miss from cloudfront"", Via:""1.1 7e971936bfe0d7b153ac686216fce092.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""SEA900-P6"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""SupK48vVmWJwmUDflZj0Y6_A6ZO_59W1ubIPwLVlJE8ZH52DmbGZkA==""]>"
"ai-ops-metrics-generator","Updating Threshold metrics for module: MEMORY_SNORT_THRESHOLD_BREACH"
"ai-ops-metrics-generator","Module MEMORY_SNORT_THRESHOLD_BREACH does not support enable metrics."
"ai-ops-orchestrator","Sending module settings to metrics generator for MEMORY_SNORT_THRESHOLD_BREACH"
"ai-ops-orchestrator","Posted module create/update notification to metrics generator for SOFTWARE_UPGRADE_PLANNER"
"ai-ops-orchestrator","responseEntity: <200 OK OK,[Content-Length:""0"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:33:06 GMT"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""93a96231-3f50-44e4-8f01-c1f75db05d8a"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", Expires:""0"", X-Cache:""Miss from cloudfront"", Via:""1.1 7e971936bfe0d7b153ac686216fce092.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""SEA900-P6"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""NWE1oIytpZC0zVKfn9TI99_i_0KpqWnS83WJvKZiXmJTW66XrzXyvA==""]>"
"ai-ops-metrics-generator","Module SOFTWARE_UPGRADE_PLANNER does not support threshold metrics."
"ai-ops-metrics-generator","Module SOFTWARE_UPGRADE_PLANNER does not support enable metrics."
"ai-ops-orchestrator","Sending module settings to metrics generator for SOFTWARE_UPGRADE_PLANNER"
"ai-ops-orchestrator","Posted module create/update notification to metrics generator for POLICY_ANALYZER_AND_OPTIMIZER"
"ai-ops-orchestrator","responseEntity: <200 OK OK,[Content-Length:""0"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:33:06 GMT"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""597a150f-8add-40e3-a737-5332ef958a62"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", Expires:""0"", X-Cache:""Miss from cloudfront"", Via:""1.1 7e971936bfe0d7b153ac686216fce092.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""SEA900-P6"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""Mm0u4_zasNSglYSwqMLDbzRab3q5iBs7atcCBrfBitcAcfGFLiBHRQ==""]>"
"ai-ops-metrics-generator","Module POLICY_ANALYZER_AND_OPTIMIZER does not support threshold metrics."
"ai-ops-metrics-generator","Module POLICY_ANALYZER_AND_OPTIMIZER does not support enable metrics."
"ai-ops-orchestrator","Sending module settings to metrics generator for POLICY_ANALYZER_AND_OPTIMIZER"
"ai-ops-orchestrator","Posted module create/update notification to metrics generator for RAVPN_MAX_SESSIONS_BREACH_FORECAST"
"ai-ops-orchestrator","responseEntity: <200 OK OK,[Content-Length:""0"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:33:06 GMT"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""7bdf9c53-661c-440d-864f-2a834bd6026b"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", Expires:""0"", X-Cache:""Miss from cloudfront"", Via:""1.1 7e971936bfe0d7b153ac686216fce092.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""SEA900-P6"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""KoNr45MtDWm0NxMEAUCXctG9Z1JhcUa1iy9gZVZ9grIb_LJvEJ0EhQ==""]>"
"ai-ops-metrics-generator","Module RAVPN_MAX_SESSIONS_BREACH_FORECAST does not support threshold metrics."
"ai-ops-metrics-generator","Module RAVPN_MAX_SESSIONS_BREACH_FORECAST does not support enable metrics."
"ai-ops-orchestrator","Sending module settings to metrics generator for RAVPN_MAX_SESSIONS_BREACH_FORECAST"
"ai-ops-orchestrator","Posted module create/update notification to metrics generator for MEMORY_LINA_THRESHOLD_BREACH"
"ai-ops-orchestrator","responseEntity: <200 OK OK,[Content-Length:""0"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:33:06 GMT"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""cb0df352-a962-4cea-a31c-5669a61719ca"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", Expires:""0"", X-Cache:""Miss from cloudfront"", Via:""1.1 7e971936bfe0d7b153ac686216fce092.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""SEA900-P6"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""14e8o4fLp6p5NP3OLQLidEXYfUfVVFKlG2LCohYhO09Dyuy7w1-j0Q==""]>"
"ai-ops-metrics-generator","Updating Threshold metrics for module: MEMORY_LINA_THRESHOLD_BREACH"
"ai-ops-metrics-generator","Module MEMORY_LINA_THRESHOLD_BREACH does not support enable metrics."
"ai-ops-orchestrator","Sending module settings to metrics generator for MEMORY_LINA_THRESHOLD_BREACH"
"ai-ops-orchestrator","Posted module create/update notification to metrics generator for FEATURE_ADOPTION"
"ai-ops-orchestrator","responseEntity: <200 OK OK,[Content-Length:""0"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:33:06 GMT"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""d4a6ed6b-fc88-4d01-9ce3-b1c55eaadb7e"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", Expires:""0"", X-Cache:""Miss from cloudfront"", Via:""1.1 7e971936bfe0d7b153ac686216fce092.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""SEA900-P6"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""6jdKypv-if0M_4Ta6opPbZsOD4Z2O7iUKSJlVQCJBvokXu_hwy6rSw==""]>"
"ai-ops-metrics-generator","Module FEATURE_ADOPTION does not support threshold metrics."
"ai-ops-metrics-generator","Module FEATURE_ADOPTION does not support enable metrics."
"ai-ops-orchestrator","Sending module settings to metrics generator for FEATURE_ADOPTION"
"ai-ops-orchestrator","Posted module create/update notification to metrics generator for ELEPHANT_FLOW"
"ai-ops-orchestrator","responseEntity: <200 OK OK,[Content-Length:""0"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:33:06 GMT"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""32ccebca-1759-4a06-b465-08282029e99a"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", Expires:""0"", X-Cache:""Miss from cloudfront"", Via:""1.1 7e971936bfe0d7b153ac686216fce092.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""SEA900-P6"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""RYNKoqm9MkJjcfdwx8_-lWzJOrMZ-xu1LFeN4QsDVdSvtEa-Oktg7Q==""]>"
"ai-ops-metrics-generator","Module ELEPHANT_FLOW does not support threshold metrics."
"ai-ops-metrics-generator","Updating Enable metrics for module: ELEPHANT_FLOW"
"ai-ops-orchestrator","Sending module settings to metrics generator for ELEPHANT_FLOW"
"ai-ops-orchestrator","Posted module create/update notification to metrics generator for THROUGHPUT_ANOMALY"
"ai-ops-orchestrator","responseEntity: <200 OK OK,[Content-Length:""0"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:33:06 GMT"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""c89ef869-1b55-4ae0-b1f7-ead5e1575954"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", Expires:""0"", X-Cache:""Miss from cloudfront"", Via:""1.1 7e971936bfe0d7b153ac686216fce092.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""SEA900-P6"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""-7LjXj41el4Acq3ul-xC_1_byAx5HwWqOK7tqr9BQvyLha68VIefSA==""]>"
"ai-ops-metrics-generator","Module THROUGHPUT_ANOMALY does not support threshold metrics."
"ai-ops-metrics-generator","Updating Enable metrics for module: THROUGHPUT_ANOMALY"
"ai-ops-orchestrator","Sending module settings to metrics generator for THROUGHPUT_ANOMALY"
"ai-ops-orchestrator","Posted module create/update notification to metrics generator for CPU_LINA_THRESHOLD_BREACH"
"ai-ops-orchestrator","responseEntity: <200 OK OK,[Content-Length:""0"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:33:06 GMT"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""7984ea80-eadf-426f-8367-671fed0bdf60"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", Expires:""0"", X-Cache:""Miss from cloudfront"", Via:""1.1 7e971936bfe0d7b153ac686216fce092.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""SEA900-P6"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""apKnXXqAvfFyENnZ-JNaCvyUA_mare1sLWkB6ump7UCHk799Y5mqoA==""]>"
"ai-ops-metrics-generator","Updating Threshold metrics for module: CPU_LINA_THRESHOLD_BREACH"
"ai-ops-metrics-generator","Module CPU_LINA_THRESHOLD_BREACH does not support enable metrics."
"ai-ops-orchestrator","Sending module settings to metrics generator for CPU_LINA_THRESHOLD_BREACH"
"ai-ops-orchestrator","Creating module settings for the registered applications"
"ai-ops-orchestrator","Executing Initialize Application action"
"ai-ops-orchestrator","Tenant OptIn is success"
"ai-ops-orchestrator","Updating the AIOps flag for the resource: null of type TENANT"
"ai-ops-orchestrator","Polling migration status on datastore"
"ai-ops-orchestrator","FMC OptIn Job polling completed successfully on tenant af5f6035-7538-4709-b073-7b5f4b69543c"
